"","x","y","z","group","label","date"
"1",9.40868601072358,16.1210201055615,20922600000,"Equity","SPDR Dow Jones Industrial Average ETF Trust","2017/05"
"2",19.0897358085716,14.7368181646028,14009500000,"Equity","iShares MSCI Eurozone ETF","2017/05"
"3",19.7738256047432,20.5837087986218,26989199356,"Equity","Nikko Listed IDX Fund 225","2017/05"
"4",10.0954125951941,15.3062082515335,11599100000,"Equity","Schwab US Broad Market ETF","2017/05"
"5",9.68232106285366,17.8210732194794,19794400000,"Equity","iShares S&P 500 Growth ETF","2017/05"
"6",9.74037964288468,14.9660879708745,142638500000,"Equity","iShares Core S&P 500 ETF","2017/05"
"7",11.1147525658494,13.7546887931916,14578600000,"Equity","Guggenheim Invest S&P 500 Eql Wght ETF","2017/05"
"8",12.2395754404448,34.7074986019406,1.8315e+10,"Equity","Vanguard Information Technology Index Fund;ETF","2017/05"
"9",9.7560326497177,15.1736099956435,11939300000,"Equity","Vanguard Large-Cap Index Fund;ETF","2017/05"
"10",19.7817904168628,20.5639232188074,53347814525.6,"Equity","Nomura Nikkei 225 ETF","2017/05"
"11",18.4615004114394,19.6397281505103,31245108624.8,"Equity","Nikko Listed IDX Fund TOPIX","2017/05"
"12",13.4856906211298,12.1684314644153,15334200000,"Equity","Schwab International Equity ETF","2017/05"
"13",10.1903872085718,15.2259015177097,13207100000,"Equity","iShares Core S&P Total US Stock Market ETF","2017/05"
"14",9.73751152090156,8.37647992313581,16139400000,"Equity","SPDR S&P Dividend ETF","2017/05"
"15",8.20672255478996,10.9082516255536,14105300000,"Equity","iShares Edge MSCI Min Vol USA ETF","2017/05"
"16",13.8649564013872,23.3634653420073,12764816952.1924,"Equity","Tracker Fund of Hong Kong","2017/05"
"17",14.0313135934471,11.2920713316171,7.8401e+10,"Equity","iShares MSCI EAFE ETF","2017/05"
"18",11.8884336987523,12.5492257628668,10414200000,"Equity","iShares Russell Mid-Cap Value ETF","2017/05"
"19",9.35472335811653,10.4595034578399,20507100000,"Equity","Vanguard High Dividend Yield Index Fund;ETF","2017/05"
"20",10.6221890580796,11.7966634743656,35916900000,"Equity","iShares Russell 1000 Value ETF","2017/05"
"21",4.24339165997806,0.324182515196259,24728600000,"Bond","iShares TIPS Bond ETF","2017/05"
"22",25.3752965551271,-1.01755336069719,32094100000,"Equity","Financial Select Sector SPDR Fund","2017/05"
